threshold,n_total,n_accepted,n_rejected,rejection_rate,accuracy_on_accepted,accuracy_uplift,recall_of_correct,recall_of_wrong_rejected,config
0.3,234,206,28,0.11965811965811966,0.9271844660194175,0.025475064310015783,0.9052132701421801,0.34782608695652173,combined
0.4,234,174,60,0.2564102564102564,0.9597701149425287,0.058060713233127004,0.7914691943127962,0.6956521739130435,combined
0.5,234,121,113,0.4829059829059829,0.9669421487603306,0.06523274705092885,0.5545023696682464,0.8260869565217391,combined
0.6,234,37,197,0.8418803418803419,1.0,0.09829059829059827,0.17535545023696683,1.0,combined
0.7,234,2,232,0.9914529914529915,1.0,0.09829059829059827,0.009478672985781991,1.0,combined
0.8,234,0,234,1.0,,,0.0,1.0,combined
0.9,234,0,234,1.0,,,0.0,1.0,combined
0.3,234,180,54,0.23076923076923078,0.9611111111111111,0.05940170940170941,0.8199052132701422,0.6956521739130435,RAGAS_only
0.4,234,169,65,0.2777777777777778,0.9644970414201184,0.06278763971071666,0.7725118483412322,0.7391304347826086,RAGAS_only
0.5,234,149,85,0.36324786324786323,0.9731543624161074,0.0714449607067057,0.6872037914691943,0.8260869565217391,RAGAS_only
0.6,234,94,140,0.5982905982905983,1.0,0.09829059829059827,0.44549763033175355,1.0,RAGAS_only
0.7,234,47,187,0.7991452991452992,1.0,0.09829059829059827,0.22274881516587677,1.0,RAGAS_only
0.8,234,12,222,0.9487179487179487,1.0,0.09829059829059827,0.05687203791469194,1.0,RAGAS_only
0.9,234,3,231,0.9871794871794872,1.0,0.09829059829059827,0.014218009478672985,1.0,RAGAS_only
0.3,234,93,141,0.6025641025641025,0.989247311827957,0.08753791011855527,0.43601895734597157,0.9565217391304348,faithfulness_only
0.4,234,79,155,0.6623931623931624,0.9873417721518988,0.08563237044249705,0.3696682464454976,0.9565217391304348,faithfulness_only
0.5,234,61,173,0.7393162393162394,0.9836065573770492,0.08189715566764744,0.2843601895734597,0.9565217391304348,faithfulness_only
0.6,234,43,191,0.8162393162393162,1.0,0.09829059829059827,0.2037914691943128,1.0,faithfulness_only
0.7,234,27,207,0.8846153846153846,1.0,0.09829059829059827,0.12796208530805686,1.0,faithfulness_only
0.8,234,20,214,0.9145299145299145,1.0,0.09829059829059827,0.0947867298578199,1.0,faithfulness_only
0.9,234,16,218,0.9316239316239316,1.0,0.09829059829059827,0.07582938388625593,1.0,faithfulness_only
0.3,234,211,23,0.09829059829059829,0.9146919431279621,0.012982541418560367,0.9146919431279621,0.21739130434782608,retrieval_only
0.4,234,155,79,0.33760683760683763,0.9032258064516129,0.0015164047422111526,0.6635071090047393,0.34782608695652173,retrieval_only
0.5,234,67,167,0.7136752136752137,0.9104477611940298,0.008738359484628089,0.2890995260663507,0.7391304347826086,retrieval_only
0.6,234,18,216,0.9230769230769231,0.9444444444444444,0.042735042735042694,0.08056872037914692,0.9565217391304348,retrieval_only
0.7,234,3,231,0.9871794871794872,1.0,0.09829059829059827,0.014218009478672985,1.0,retrieval_only
0.8,234,1,233,0.9957264957264957,1.0,0.09829059829059827,0.004739336492890996,1.0,retrieval_only
0.9,234,0,234,1.0,,,0.0,1.0,retrieval_only
